Disease,Patient_Count,Severity_Score,PPEkits,Beds,Doctors,Ventilator,Oxygen Cylinder
Pneumonia,122,2,28,58,18,4,28
Heart_Failure,469,3,48,147,24,6,57
Stroke,264,3,249,102,27,9,21
Pneumonia,62,1,26,8,5,0,9
Sepsis,248,4,44,196,16,4,48
Covid,239,3,102,54,3,6,63
Covid,231,3,60,39,6,12,81
Severe_Trauma,301,1,76,9,4,3,10
Heart_Failure,498,1,27,39,7,2,11
Covid,200,4,304,188,12,0,104
Heart_Failure,136,1,47,27,8,0,26
Severe_Trauma,478,2,90,94,10,2,14
Severe_Trauma,154,3,285,78,18,12,69
Stroke,130,2,160,60,14,0,32
Pneumonia,440,4,72,184,12,4,84
Pneumonia,410,3,33,144,18,12,33
Sepsis,434,4,132,24,4,12,28
Covid,362,1,74,14,9,3,20
Sepsis,66,4,44,52,32,0,40
Stroke,185,4,180,32,32,4,76
Severe_Trauma,300,1,31,8,1,2,17
Covid,214,3,84,45,9,0,42
Severe_Trauma,61,2,92,34,18,2,44
Heart_Failure,238,1,60,30,9,0,14
Heart_Failure,173,2,188,94,4,8,28
Heart_Failure,195,4,96,140,32,4,60
Pneumonia,399,4,304,60,32,8,104
Severe_Trauma,322,3,273,51,15,9,57
Stroke,264,4,316,44,20,4,36
Heart_Failure,402,3,72,105,12,12,63
Pneumonia,210,4,108,56,24,16,36
Severe_Trauma,445,2,132,28,2,2,22
Severe_Trauma,164,1,59,39,2,4,6
Sepsis,221,1,24,33,7,3,16
Severe_Trauma,280,1,80,17,1,3,18
Covid,163,3,135,69,24,6,66
Sepsis,247,2,138,82,14,0,58
Heart_Failure,146,2,70,40,4,8,56
Severe_Trauma,355,2,56,98,8,0,30
Stroke,161,3,108,48,18,12,63
Pneumonia,165,1,62,40,5,2,18
Stroke,493,1,31,40,8,0,19
Heart_Failure,222,1,91,28,1,2,26
Stroke,206,1,50,25,2,3,23
Heart_Failure,149,3,153,48,9,6,27
Heart_Failure,453,4,300,68,32,4,32
Sepsis,80,2,44,48,16,2,32
Pneumonia,259,2,36,94,14,0,44
Covid,232,2,152,90,14,2,16
Heart_Failure,468,4,172,72,28,8,68
Sepsis,377,1,93,48,8,3,11
Sepsis,301,4,268,140,28,0,68
Covid,387,3,75,120,12,0,36
Covid,202,4,284,64,12,4,88
Severe_Trauma,418,4,384,160,4,4,76
Severe_Trauma,418,3,294,15,24,9,75
Sepsis,195,2,130,54,8,0,52
Stroke,194,3,114,102,27,9,21
Severe_Trauma,66,2,190,80,8,8,36
Stroke,301,1,96,29,9,4,16
Heart_Failure,394,2,112,18,12,6,32
Severe_Trauma,300,1,34,23,9,4,8
Pneumonia,382,2,150,70,10,0,24
Severe_Trauma,367,2,96,70,6,8,12
Covid,445,2,134,44,12,0,36
Severe_Trauma,484,1,97,28,8,4,5
Heart_Failure,133,4,256,184,12,0,48
Pneumonia,160,2,166,38,6,2,14
Stroke,312,4,392,164,24,16,60
Heart_Failure,410,1,93,47,9,2,18
Stroke,160,1,90,29,5,0,26
Severe_Trauma,256,2,176,22,16,0,26
Sepsis,193,1,48,46,6,4,20
Covid,499,4,304,124,24,8,104
Heart_Failure,179,3,114,39,24,0,30
Sepsis,326,2,170,34,2,2,34
Severe_Trauma,351,3,273,87,9,0,21
Pneumonia,493,3,288,144,27,12,45
Sepsis,384,3,114,87,15,9,18
Pneumonia,319,3,240,30,6,9,15
Stroke,450,3,36,15,15,6,39
Heart_Failure,205,4,352,160,12,0,104
Covid,370,4,244,24,4,8,44
Heart_Failure,125,2,138,66,10,4,48
Stroke,102,4,124,28,4,16,52
Covid,115,2,86,36,16,4,40
Heart_Failure,247,2,150,84,18,4,34
Sepsis,139,2,174,58,14,6,20
Stroke,374,1,57,12,2,3,15
Severe_Trauma,250,1,59,39,3,2,8
Stroke,277,4,312,104,32,0,40
Stroke,425,2,144,38,18,0,58
Stroke,116,1,83,9,7,0,25
Covid,433,4,264,168,12,0,80
Pneumonia,90,2,90,68,2,4,14
Stroke,53,4,160,192,16,4,60
Severe_Trauma,466,4,196,52,16,0,108
Stroke,83,4,388,20,24,0,48
Covid,106,1,46,33,5,4,12
Sepsis,182,2,118,54,6,8,22
Sepsis,494,3,42,39,3,6,39
Pneumonia,280,4,92,56,20,0,32
Stroke,440,4,264,128,28,8,108
Heart_Failure,212,3,270,27,3,3,33
Severe_Trauma,388,1,75,43,8,1,14
Heart_Failure,315,2,52,46,18,0,48
Heart_Failure,324,2,174,12,8,6,52
Pneumonia,121,4,268,144,8,12,44
Severe_Trauma,157,4,76,80,24,16,24
Pneumonia,228,2,188,94,12,2,26
Sepsis,130,2,34,32,10,8,56
Covid,488,3,36,63,24,9,81
Pneumonia,53,1,14,40,5,4,9
Pneumonia,114,3,204,45,12,3,81
Pneumonia,173,2,152,98,8,6,40
Sepsis,420,2,150,72,16,0,12
Stroke,461,2,144,84,8,0,44
Sepsis,437,1,97,5,6,1,18
Sepsis,488,4,264,100,4,4,68
Covid,450,1,17,46,5,4,18
Sepsis,241,3,189,54,9,6,81
Stroke,335,4,384,164,24,0,36
Severe_Trauma,384,1,66,5,5,1,24
Pneumonia,119,1,58,30,1,3,9
Severe_Trauma,423,1,22,39,6,0,29
Pneumonia,132,1,23,13,9,0,9
Heart_Failure,153,4,224,96,24,0,68
Covid,342,2,150,42,14,2,58
Pneumonia,181,4,216,152,24,8,116
Heart_Failure,127,3,84,144,21,0,24
Heart_Failure,390,2,94,66,12,2,36
Severe_Trauma,120,1,41,36,6,3,12
Pneumonia,396,4,96,48,20,8,44
Pneumonia,172,3,162,84,18,6,24
Sepsis,469,1,87,29,4,1,8
Pneumonia,344,4,256,136,28,16,112
Pneumonia,403,2,40,98,10,8,24
Sepsis,134,4,372,20,12,0,48
Heart_Failure,289,4,352,24,16,4,80
Heart_Failure,162,2,120,94,4,2,50
Pneumonia,97,2,126,50,14,4,14
Stroke,102,1,54,15,6,4,18
Sepsis,84,4,228,148,12,4,104
Heart_Failure,158,2,20,72,14,2,56
Heart_Failure,297,2,186,66,18,8,40
Stroke,88,4,140,40,8,16,32
Sepsis,223,3,120,87,12,9,45
Sepsis,112,4,180,68,12,8,84
Covid,165,3,264,78,27,3,42
Covid,464,1,66,49,7,1,15
Covid,57,4,88,176,32,4,104
Heart_Failure,378,3,246,123,18,6,51
Heart_Failure,202,3,219,27,9,12,48
Pneumonia,169,3,57,126,27,0,42
Sepsis,159,2,90,98,10,8,30
Pneumonia,405,4,132,192,28,8,72
Pneumonia,51,1,49,24,7,4,15
Covid,71,4,236,152,8,12,60
Pneumonia,294,4,116,72,24,4,104
Covid,355,3,159,96,3,12,24
Sepsis,323,4,312,76,8,4,88
Heart_Failure,384,2,84,44,14,8,22
Covid,450,4,336,56,8,4,52
Covid,495,4,380,124,28,4,28
Stroke,171,2,188,80,18,2,16
Heart_Failure,285,3,99,42,12,3,42
Sepsis,384,2,32,96,16,0,56
Sepsis,152,3,168,93,6,0,27
Severe_Trauma,137,4,172,176,12,12,88
Covid,173,2,136,96,14,0,28
Heart_Failure,333,1,46,40,7,4,23
Stroke,297,4,136,176,12,0,104
Sepsis,329,4,328,164,12,0,104
Pneumonia,363,1,69,29,8,3,14
Heart_Failure,237,4,324,20,4,4,48
Sepsis,447,1,74,23,4,3,22
Sepsis,467,3,93,138,24,3,51
Heart_Failure,492,4,200,92,16,0,48
Covid,60,3,183,48,12,3,81
Sepsis,315,3,165,84,24,9,21
Covid,289,3,90,54,9,3,48
Heart_Failure,253,1,94,10,2,0,28
Sepsis,65,2,148,60,6,6,50
Severe_Trauma,198,2,48,28,14,2,54
Severe_Trauma,108,1,12,49,3,0,29
Stroke,60,3,249,39,18,9,66
Stroke,198,4,196,76,32,16,28
Sepsis,101,3,114,114,21,3,27
Sepsis,86,1,11,20,8,0,27
Heart_Failure,338,4,268,148,36,0,88
Covid,174,3,198,93,27,6,51
Severe_Trauma,217,4,60,32,16,16,84
Heart_Failure,435,2,184,96,12,6,10
Sepsis,137,4,352,184,20,16,52
Sepsis,119,2,24,68,10,8,22
Heart_Failure,305,4,148,184,4,0,20
Pneumonia,86,1,87,33,4,4,8
Sepsis,202,4,316,52,16,8,24
Stroke,333,4,224,116,16,8,64
Covid,96,4,304,124,16,8,104
Heart_Failure,342,4,352,188,28,8,96
Pneumonia,416,4,356,184,20,8,116
Stroke,462,3,174,39,12,9,30
Severe_Trauma,210,1,26,38,6,1,25
Sepsis,250,2,46,78,2,8,12
Pneumonia,284,1,41,24,6,0,26
Heart_Failure,79,2,142,36,6,4,24
Heart_Failure,99,3,183,24,6,6,45
Stroke,184,4,208,140,16,8,20
Covid,169,1,62,12,8,3,21
Pneumonia,489,3,150,135,18,9,84
Stroke,190,2,84,82,18,6,10
Pneumonia,486,2,120,74,14,2,58
Stroke,350,1,97,23,9,2,22
Stroke,369,2,162,36,12,2,28
Pneumonia,111,4,72,180,4,4,80
Sepsis,163,4,112,148,20,12,68
Stroke,489,3,36,132,18,12,45
Pneumonia,386,4,124,76,8,8,52
Sepsis,302,2,52,14,6,2,16
Pneumonia,102,3,177,132,15,0,21
Stroke,255,2,132,66,4,4,36
Stroke,137,2,192,86,12,4,46
Covid,202,2,164,34,10,8,28
Heart_Failure,242,3,168,105,18,12,57
Covid,315,3,45,60,18,6,45
Stroke,429,3,204,27,15,3,57
Stroke,333,2,182,84,4,8,24
Covid,371,1,50,26,2,2,5
Pneumonia,365,2,138,74,18,6,56
Heart_Failure,167,4,220,152,4,8,80
Sepsis,323,1,76,25,2,3,5
Covid,195,3,210,120,15,9,75
Covid,59,2,28,60,2,2,22
Sepsis,238,4,92,32,32,12,40
Covid,446,1,72,6,8,1,23
Heart_Failure,180,3,258,141,15,0,69
Sepsis,353,3,177,24,27,3,78
Severe_Trauma,284,3,276,42,21,9,24
Heart_Failure,166,1,87,34,8,4,10
Heart_Failure,83,3,141,63,21,6,78
Stroke,81,3,78,117,24,6,48
Heart_Failure,227,4,76,160,24,0,108
Stroke,103,2,90,28,6,0,10
Covid,145,3,150,72,18,9,18
Heart_Failure,185,3,156,87,18,6,51
Covid,155,1,98,20,4,3,27
Stroke,207,3,255,84,9,3,36
Stroke,144,3,210,111,27,3,84
Severe_Trauma,82,1,19,14,6,1,21
Sepsis,97,2,126,62,16,8,26
Stroke,240,3,282,93,15,12,69
Pneumonia,452,4,92,44,4,0,96
Sepsis,444,2,98,62,10,0,16
Covid,346,2,92,74,10,8,48
Covid,268,2,92,72,12,8,22
Stroke,88,3,237,105,18,0,75
Stroke,209,1,14,47,1,4,11
Heart_Failure,479,3,48,60,3,12,30
Sepsis,277,3,36,144,18,12,21
Pneumonia,143,4,268,68,16,0,104
Pneumonia,474,2,152,22,14,4,34
Heart_Failure,220,2,156,84,10,4,30
Sepsis,247,3,159,129,27,3,33
Pneumonia,367,4,284,96,4,0,96
Stroke,167,2,22,24,14,0,38
Pneumonia,450,4,104,136,4,12,56
Stroke,428,3,234,117,15,0,33
Pneumonia,127,4,112,56,28,8,24
Heart_Failure,446,4,312,40,20,8,116
Stroke,413,2,152,42,8,8,16
Pneumonia,137,4,328,24,36,0,112
Covid,271,4,228,92,12,4,104
Heart_Failure,284,2,80,58,14,8,32
Pneumonia,113,4,268,68,32,16,28
Covid,415,1,17,17,5,4,5
Sepsis,112,2,94,50,10,8,42
Sepsis,110,3,102,84,3,3,48
Severe_Trauma,479,4,80,116,12,8,24
Pneumonia,344,1,95,15,8,3,25
Sepsis,454,2,110,82,10,4,28
Covid,102,1,41,10,5,0,18
Covid,81,4,124,56,20,12,20
Sepsis,404,2,90,62,12,0,40
Sepsis,223,4,360,52,4,8,44
Covid,398,1,83,37,4,0,24
Severe_Trauma,213,3,165,105,12,6,72
Stroke,452,2,48,82,18,4,28
Heart_Failure,400,3,222,30,27,3,51
Covid,133,3,198,144,18,9,57
Pneumonia,449,1,20,27,2,1,8
Severe_Trauma,274,3,291,72,21,3,24
Heart_Failure,217,3,291,117,18,3,87
Heart_Failure,98,1,97,15,2,0,10
Pneumonia,185,1,84,10,6,1,10
Severe_Trauma,482,4,44,120,4,12,44
Stroke,96,2,154,58,12,2,24
Stroke,166,3,36,108,12,12,33
Heart_Failure,246,2,188,54,2,6,20
Stroke,240,3,42,33,15,12,60
Covid,322,2,76,52,8,6,16
Severe_Trauma,145,3,123,27,27,6,51
Pneumonia,100,1,65,17,6,4,5
Sepsis,160,3,93,18,18,6,66
Covid,98,1,54,45,8,3,26
Pneumonia,421,4,92,128,16,0,24
Pneumonia,93,3,150,120,21,6,30
Pneumonia,469,2,86,66,2,4,20
Severe_Trauma,463,3,273,126,18,9,78
Stroke,196,3,288,126,12,12,45
Covid,61,4,300,100,4,16,20
Severe_Trauma,225,4,68,24,24,16,52
Heart_Failure,362,4,280,68,36,8,28
Severe_Trauma,407,3,33,123,27,12,72
Pneumonia,200,1,44,35,3,0,20
Heart_Failure,390,2,116,10,12,4,12
Covid,331,1,87,16,7,4,18
Severe_Trauma,493,1,93,49,8,4,19
Sepsis,482,3,180,42,24,9,36
Sepsis,397,2,116,74,10,0,44
Covid,177,1,30,49,2,3,10
Heart_Failure,98,4,236,56,32,8,32
Stroke,91,1,57,42,3,4,22
Pneumonia,213,3,291,81,27,9,54
Stroke,184,1,91,44,5,2,10
Severe_Trauma,313,1,53,16,5,2,23
Heart_Failure,124,4,208,180,8,0,108
Covid,131,1,90,44,9,1,24
Covid,242,4,160,120,12,0,88
Severe_Trauma,82,4,308,36,32,0,44
Covid,418,2,110,60,18,0,22
Stroke,226,3,156,96,21,9,18
Pneumonia,382,1,72,14,1,0,12
Severe_Trauma,416,3,201,108,27,6,87
Sepsis,166,1,52,34,4,4,17
Covid,358,1,12,48,5,1,10
Stroke,109,2,104,84,14,8,32
Pneumonia,469,2,40,80,10,6,32
Stroke,313,2,116,24,10,2,46
Covid,482,1,67,38,4,2,13
Severe_Trauma,460,4,208,148,16,4,68
Stroke,195,2,148,94,14,8,28
Pneumonia,166,1,23,27,3,0,22
Pneumonia,218,2,54,42,8,0,30
Heart_Failure,241,3,219,123,27,9,21
Covid,146,4,92,104,8,12,20
Heart_Failure,115,4,268,84,36,12,48
Stroke,476,1,52,35,4,2,22
Heart_Failure,260,2,142,66,16,8,12
Covid,161,1,97,23,2,1,18
Pneumonia,309,1,32,34,8,0,12
Heart_Failure,254,4,212,120,16,8,36
Stroke,71,4,156,76,20,16,104
Covid,485,2,140,44,10,8,38
Sepsis,347,4,200,72,8,16,72
Sepsis,271,2,58,70,14,6,58
Severe_Trauma,363,3,63,48,3,3,27
Stroke,486,1,90,8,4,4,14
Covid,138,3,258,102,3,0,78
Heart_Failure,403,4,348,68,4,12,40
Covid,444,3,204,66,24,0,24
Sepsis,299,1,33,31,9,4,9
Stroke,359,1,39,36,9,2,26
Heart_Failure,134,2,128,72,10,2,28
Pneumonia,58,4,40,52,28,16,116
Severe_Trauma,159,2,148,30,14,8,54
Covid,123,3,87,66,15,6,21
Sepsis,361,2,120,64,4,2,52
Stroke,402,4,236,96,36,16,116
Covid,465,1,70,36,7,4,18
Pneumonia,76,2,132,84,4,8,58
Severe_Trauma,154,2,122,86,8,2,50
Stroke,491,4,388,64,20,8,64
Sepsis,231,2,72,60,18,4,22
Stroke,120,2,58,92,14,4,42
Heart_Failure,274,2,30,64,18,6,56
Heart_Failure,135,3,96,81,6,12,63
Heart_Failure,264,4,368,48,36,8,20
Covid,129,1,74,26,1,3,8
Sepsis,58,3,108,96,12,12,15
Stroke,380,4,360,20,32,16,72
Stroke,405,3,87,135,27,9,63
Heart_Failure,370,4,372,36,32,16,84
Heart_Failure,235,3,243,51,21,12,24
Pneumonia,371,2,68,78,14,8,22
Sepsis,333,3,54,60,3,0,21
Heart_Failure,435,1,70,44,3,2,26
Stroke,51,4,156,144,12,8,92
Severe_Trauma,262,2,192,36,8,6,12
Covid,396,1,39,47,3,1,8
Severe_Trauma,51,4,284,148,16,4,116
Pneumonia,433,4,268,32,28,16,104
Covid,120,3,30,90,3,3,60
Covid,373,2,134,78,10,4,56
Heart_Failure,431,4,380,176,20,12,40
Covid,450,3,69,93,27,12,24
Covid,336,2,54,22,14,2,24
Covid,431,2,148,76,16,6,32
Pneumonia,257,3,279,99,27,6,30
Covid,419,2,76,56,4,2,50
Heart_Failure,188,3,279,135,9,3,51
Pneumonia,395,4,188,168,16,12,104
Stroke,466,3,237,48,15,9,81
Severe_Trauma,341,1,73,8,1,2,14
Pneumonia,87,3,204,105,15,0,15
Severe_Trauma,272,1,17,12,5,4,26
Sepsis,433,2,74,42,16,0,16
Stroke,366,3,141,69,3,3,18
Severe_Trauma,471,3,216,117,27,3,72
Severe_Trauma,386,1,44,27,6,3,7
Covid,134,3,138,123,3,0,33
Sepsis,76,3,219,105,9,12,69
Heart_Failure,60,3,282,84,3,6,60
Pneumonia,323,4,280,76,32,8,80
Covid,82,4,136,160,12,16,52
Sepsis,256,1,25,46,2,0,20
Sepsis,158,2,52,18,2,4,22
Heart_Failure,137,4,40,84,16,8,116
Pneumonia,423,2,36,24,16,8,16
Severe_Trauma,445,3,285,27,27,9,39
Heart_Failure,140,2,198,46,6,0,40
Covid,296,4,176,84,20,8,44
Severe_Trauma,174,3,162,51,24,12,72
Stroke,450,2,76,92,16,0,56
Covid,363,4,108,184,8,8,104
Stroke,113,2,64,38,18,0,34
Severe_Trauma,108,3,225,96,27,3,27
Pneumonia,327,3,270,111,3,3,78
Heart_Failure,50,1,18,20,1,1,6
Heart_Failure,464,4,336,36,24,16,68
Stroke,67,3,168,15,15,3,18
Heart_Failure,337,4,140,156,12,8,72
Sepsis,413,1,34,10,7,1,10
Pneumonia,93,4,396,108,20,4,64
Covid,67,4,176,116,20,16,60
Heart_Failure,314,1,41,30,7,3,20
Severe_Trauma,278,2,138,64,10,8,32
Heart_Failure,491,4,244,116,12,8,20
Covid,184,3,285,72,24,3,18
Stroke,124,1,79,15,4,1,7
Heart_Failure,188,3,195,66,24,0,54
Sepsis,277,2,188,10,2,2,40
Severe_Trauma,489,2,152,22,8,4,24
Stroke,425,3,63,63,3,12,48
Severe_Trauma,439,3,249,138,6,9,27
Heart_Failure,373,2,50,44,2,8,20
Sepsis,202,2,26,90,2,8,42
Heart_Failure,415,2,100,80,6,8,38
Stroke,379,4,168,88,12,4,88
Covid,480,3,264,123,9,0,21
Covid,177,2,142,38,16,8,32
Severe_Trauma,454,1,23,15,8,4,9
Sepsis,318,1,64,48,7,4,23
Pneumonia,396,2,160,54,14,2,44
Stroke,436,2,20,66,2,2,32
Stroke,109,1,50,19,2,3,25
Sepsis,139,4,276,96,12,4,100
Stroke,53,2,118,42,8,2,26
Sepsis,320,1,23,21,3,2,13
Heart_Failure,325,3,66,21,9,12,18
Severe_Trauma,215,2,122,74,16,2,42
Sepsis,491,2,164,12,8,4,32
Stroke,331,3,159,132,27,3,75
Severe_Trauma,495,3,186,138,18,9,30
Sepsis,391,1,32,49,1,0,28
Stroke,154,4,340,160,16,4,68
Sepsis,177,3,36,27,9,9,39
Pneumonia,444,4,180,160,20,4,32
Pneumonia,320,4,44,80,4,16,104
Sepsis,113,4,180,132,28,0,92
Severe_Trauma,365,2,34,72,4,0,18
Severe_Trauma,91,2,140,10,8,4,16
Pneumonia,283,2,178,10,4,4,26
Heart_Failure,122,1,61,33,7,2,12
Covid,269,1,93,41,9,4,10
Stroke,498,2,168,84,12,6,52
Stroke,236,4,48,100,24,12,28
Severe_Trauma,212,2,104,96,12,6,18
Severe_Trauma,161,4,196,76,36,12,80
Severe_Trauma,388,4,260,148,32,12,96
Stroke,304,3,45,30,9,0,84
Heart_Failure,80,3,39,63,15,3,39
Heart_Failure,382,1,69,13,4,1,25
Pneumonia,468,3,117,54,18,9,60
Sepsis,240,3,108,135,24,6,84
Heart_Failure,187,4,64,72,24,4,68
Pneumonia,419,2,124,50,4,8,56
Pneumonia,210,3,198,102,21,3,60
Sepsis,473,2,58,58,8,6,38
Stroke,295,2,42,56,6,6,12
Covid,342,1,77,35,4,2,19
Pneumonia,253,1,22,26,5,3,20
Heart_Failure,471,1,55,5,8,0,8
Severe_Trauma,82,1,20,46,2,4,23
Heart_Failure,478,4,276,28,32,12,112
Heart_Failure,361,1,96,29,4,1,27
Sepsis,72,1,25,35,8,0,26
Pneumonia,451,3,114,138,12,0,21
Covid,60,1,82,35,8,1,17
Severe_Trauma,465,2,166,80,4,4,46
Severe_Trauma,404,1,68,18,3,2,6
Pneumonia,185,1,23,29,1,4,11
Heart_Failure,90,3,51,24,27,6,72
Heart_Failure,442,3,186,51,18,0,24
Covid,281,2,40,72,18,4,10
Severe_Trauma,255,4,56,48,24,8,88
Sepsis,208,1,63,26,7,1,18
Sepsis,430,1,39,37,8,2,12
Severe_Trauma,145,4,44,192,8,12,68
Heart_Failure,305,3,90,114,6,0,87
Stroke,281,2,146,72,10,8,42
Pneumonia,295,1,84,38,1,1,20
Pneumonia,378,1,42,34,8,3,28
Severe_Trauma,305,3,102,129,6,12,60
Pneumonia,138,3,39,57,18,6,57
Stroke,393,2,58,24,2,0,58
Heart_Failure,485,2,82,80,2,6,14
Pneumonia,222,1,35,12,1,0,22
Pneumonia,416,1,23,33,2,2,19
Severe_Trauma,358,4,204,184,8,4,100
Severe_Trauma,77,2,80,14,12,0,12
Severe_Trauma,133,4,144,164,8,8,112
Covid,138,1,12,34,1,3,26
Pneumonia,144,2,40,68,10,6,22
Heart_Failure,376,4,148,136,8,4,60
Covid,481,1,74,6,3,2,16
Severe_Trauma,450,4,48,20,16,16,64
Heart_Failure,330,4,284,100,32,8,108
Stroke,248,2,34,14,8,2,36
Covid,220,4,148,64,16,4,68
Covid,276,2,26,46,4,4,12
Heart_Failure,425,4,224,140,16,8,40
Pneumonia,445,1,88,11,3,3,14
Heart_Failure,141,2,98,18,18,4,42
Pneumonia,282,2,40,28,12,2,56
Pneumonia,90,2,34,16,6,6,32
Heart_Failure,70,4,212,144,8,16,40
Sepsis,339,4,292,52,4,4,20
Stroke,72,3,33,54,12,3,75
Pneumonia,93,1,64,23,4,1,21
Heart_Failure,71,2,62,46,12,6,30
Stroke,237,3,222,81,9,6,72
Severe_Trauma,130,1,52,27,2,2,14
Sepsis,202,2,76,60,12,2,38
Severe_Trauma,383,3,219,72,9,9,87
Severe_Trauma,241,1,29,34,6,2,21
Severe_Trauma,250,3,213,135,15,0,75
Sepsis,368,2,146,32,4,8,32
Pneumonia,141,2,164,44,2,6,38
Heart_Failure,198,2,98,84,6,8,12
Covid,83,2,180,30,14,0,52
Severe_Trauma,98,3,165,90,18,6,60
Heart_Failure,110,1,26,15,9,0,29
Pneumonia,468,3,78,72,18,3,63
Covid,145,3,159,120,6,0,81
Heart_Failure,334,4,340,112,28,12,44
Heart_Failure,204,4,76,188,28,8,108
Pneumonia,388,2,56,70,4,6,54
Sepsis,320,2,136,80,2,4,30
Covid,99,1,45,9,8,4,5
Stroke,189,4,236,172,16,16,64
Stroke,496,3,249,123,21,0,33
Sepsis,194,3,288,87,15,0,15
Pneumonia,456,3,297,60,27,0,87
Sepsis,157,3,207,141,9,3,39
Severe_Trauma,453,4,316,104,8,4,96
Stroke,458,4,392,148,8,8,68
Pneumonia,93,2,166,28,12,4,54
Heart_Failure,302,4,172,152,4,4,96
Sepsis,321,1,30,28,6,0,16
Heart_Failure,453,2,168,14,10,2,46
Sepsis,297,4,392,24,4,0,52
Sepsis,400,4,364,48,24,0,68
Stroke,459,4,392,36,8,4,76
Covid,61,2,82,98,2,6,52
Covid,188,3,87,114,24,0,63
Covid,61,2,182,86,10,4,28
Covid,266,2,60,92,16,8,20
Pneumonia,192,2,136,30,8,0,44
Heart_Failure,360,1,54,49,3,0,22
Severe_Trauma,76,4,88,96,20,12,88
Stroke,396,3,51,90,9,12,48
Heart_Failure,51,1,92,16,4,0,9
Heart_Failure,131,1,41,31,7,4,15
Covid,141,2,68,60,12,4,26
Severe_Trauma,433,2,118,14,2,8,58
Stroke,495,4,124,24,8,16,112
Pneumonia,212,4,40,92,12,0,56
Sepsis,311,3,201,15,15,3,57
Sepsis,64,2,40,66,4,0,50
Severe_Trauma,138,2,44,72,2,6,46
Covid,424,1,59,43,2,0,27
Heart_Failure,145,4,216,164,36,16,60
Heart_Failure,271,3,294,15,27,12,27
Heart_Failure,488,3,270,75,27,9,87
Heart_Failure,193,3,186,129,27,0,24
Severe_Trauma,74,2,178,54,12,6,56
Heart_Failure,142,1,72,13,6,4,6
Covid,137,3,201,99,27,0,48
Heart_Failure,225,4,60,24,4,4,64
Stroke,402,3,258,141,27,12,18
Covid,426,3,201,45,24,9,36
Stroke,419,2,142,72,4,4,50
Covid,176,1,14,9,5,3,27
Covid,350,4,300,192,12,4,24
Sepsis,461,2,104,54,14,8,26
Stroke,239,4,272,132,12,0,108
Pneumonia,53,1,65,49,2,2,22
Stroke,159,4,240,28,32,0,108
Stroke,221,4,184,136,16,12,72
Covid,426,3,75,54,9,6,78
Pneumonia,103,4,152,160,12,8,20
Sepsis,149,4,388,108,24,12,36
Heart_Failure,121,1,42,47,2,4,15
Covid,412,2,56,82,18,6,50
Pneumonia,415,3,63,72,27,0,39
Sepsis,235,3,171,54,6,3,54
Stroke,79,2,148,24,6,2,40
Sepsis,104,2,184,16,8,4,20
Stroke,243,1,55,37,9,0,18
Covid,79,1,30,14,1,0,8
Heart_Failure,101,1,41,39,4,4,22
Sepsis,233,1,13,11,5,0,15
Covid,105,4,168,28,32,8,28
Stroke,339,3,171,90,9,0,66
Pneumonia,91,2,24,86,6,6,52
Stroke,197,3,195,129,21,0,87
Pneumonia,131,4,284,156,20,0,84
Heart_Failure,85,4,164,112,12,4,72
Sepsis,300,3,282,51,9,12,54
Covid,311,3,39,96,24,3,24
Stroke,416,2,66,20,18,6,38
Sepsis,334,2,132,68,18,2,28
Pneumonia,496,1,86,13,8,1,8
Pneumonia,274,2,94,10,8,6,24
Covid,66,2,52,74,4,4,44
Covid,211,3,165,27,24,9,57
Sepsis,302,1,74,7,5,2,6
Pneumonia,337,3,231,27,9,9,15
Pneumonia,339,2,92,74,18,4,14
Severe_Trauma,124,3,135,48,18,12,45
Heart_Failure,254,4,44,108,36,0,96
Pneumonia,261,4,308,72,4,12,48
Stroke,263,4,328,24,32,16,96
Pneumonia,98,1,79,24,6,1,12
Pneumonia,428,4,348,80,20,8,44
Stroke,393,1,60,48,3,0,21
Sepsis,55,4,172,32,16,12,36
Heart_Failure,341,2,50,22,18,6,16
Severe_Trauma,294,3,105,21,27,0,54
Heart_Failure,203,3,183,27,24,3,24
Pneumonia,138,1,16,46,9,0,21
Stroke,109,4,388,88,12,16,64
Pneumonia,65,4,220,140,20,12,24
Stroke,436,3,141,90,24,9,54
Sepsis,451,2,64,12,16,4,14
Heart_Failure,235,2,178,24,16,4,42
Severe_Trauma,136,1,61,13,3,2,10
Severe_Trauma,395,1,81,36,3,1,17
Sepsis,70,2,98,24,10,0,28
Heart_Failure,330,4,40,68,12,16,80
Heart_Failure,63,1,42,35,8,3,14
Sepsis,371,1,49,6,9,1,25
Stroke,129,3,93,99,18,9,45
Severe_Trauma,166,4,164,80,12,12,112
Severe_Trauma,429,4,208,36,20,8,24
Severe_Trauma,353,1,91,6,7,0,13
Heart_Failure,460,2,34,84,12,8,34
Pneumonia,363,2,142,14,18,6,30
Severe_Trauma,438,4,184,108,36,4,72
Sepsis,282,2,60,12,8,6,32
Covid,125,3,141,51,27,12,87
Pneumonia,394,4,132,92,20,4,20
Stroke,217,4,192,56,32,12,116
Heart_Failure,421,3,249,144,18,12,75
Severe_Trauma,401,3,222,42,18,9,36
Pneumonia,327,3,270,120,21,0,24
Stroke,340,1,44,30,7,0,24
Covid,137,1,56,18,6,0,29
Pneumonia,207,3,234,42,3,3,48
